duration,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,weapon,distance_m,distance_label,direction
4.048979591836734,0.04510817676782608,0.0775914266705513,0.21379163681948424,0.19455749902247288,5049.406535925546,2599.6338502492613,4313.0217715610825,958.1369471031002,9444.746709348137,ak,0.0,0m,center
4.3363265306122445,0.02451847679913044,0.04736201465129852,0.03188711564171123,0.061859032844158834,2052.602038106566,2114.0870326617733,3161.0202122397727,1812.201006792084,4781.4650265290775,ak,0.0,0m,center
3.4481632653061225,0.0444401353597641,0.06772734969854355,0.032451040792785234,0.04681291686242806,2318.3997113294345,1938.5769360346526,3125.923325505811,1459.8276978455335,5182.854118603188,ak,0.0,0m,center
5.250612244897959,0.11369160562753677,0.10887448489665985,0.06290959575055188,0.08252481282584598,3807.310237177573,2091.3684049015387,3977.098873850179,1411.7039972052273,8121.677747309603,ak,0.0,0m,center
4.937142857142857,0.10465444624423981,0.10264794528484344,0.0676819707306338,0.07629328680961893,3936.9395883607863,1999.3651653339114,4144.36284020161,1286.467858459694,8526.39022612236,ak,0.0,0m,center
5.459591836734694,0.09693093597888947,0.10287591814994812,0.05819151406581741,0.07985559858285102,3373.755112121705,2161.625309776396,3690.590891893574,1387.1190793906062,7077.383247910032,ak,0.0,0m,center
3.84,0.06673359125852585,0.08736978471279144,0.05891238670694864,0.05623290749092867,2362.9398165802713,1595.7759414146863,2980.897992904612,1355.0324830399804,5047.421845496601,ak,0.0,0m,center
3.7616326530612243,0.06852822750806808,0.0880758985877037,0.0632782451923077,0.06406542222158271,2438.0968287549026,1534.9206958217494,2987.319714509591,1256.9570762317835,5204.14453125,ak,0.0,0m,center
4.153469387755102,0.04306609183549881,0.06941062211990356,0.0527916593924581,0.05116120693847754,1946.605447916819,1239.9836764427484,2463.2991493267036,1178.7726097569494,4012.0928716393155,ak,0.0,0m,center
5.0416326530612245,0.13062264025211334,0.10927709937095642,0.0912255298132184,0.06900421390622491,3431.1008512935996,1621.3893606608467,3694.4701801857536,1285.3773483583936,7343.515288254311,ak,0.0,0m,center
4.858775510204081,0.1254548281431198,0.11755627393722534,0.09724488178699284,0.0791879367778872,3507.418755408511,1608.0164427446928,3724.2898286968584,1166.0697292760103,7366.359752573091,ak,0.0,0m,center
5.746938775510204,0.08517114818096161,0.09963389486074448,0.08893511372227822,0.05613607420222106,3104.369983033708,1469.4761996777468,3516.3710622035687,1228.8978798479914,6761.556022397934,ak,0.0,0m,center
4.7542857142857144,0.062213506549596786,0.09341315180063248,0.08686642530487805,0.07033222241350226,2687.451849390128,1512.429182862323,3234.87176371426,1239.7715886765654,5664.545422065548,ak,0.0,0m,center
5.537959183673469,0.14409519731998444,0.11756020039319992,0.069412550666841,0.06178077853474887,3209.8335794219015,1771.61988064759,3684.5303801969785,1316.6897894610852,6920.672377582375,ak,0.0,0m,center
4.858775510204081,0.09719417244195938,0.10590356588363647,0.08301130854713604,0.07019953621248229,2814.1327377282687,1837.7105791289257,3016.8894990034005,1715.7052612226018,5984.688711963007,ak,0.0,0m,center
4.858775510204081,0.09540751576423645,0.1078399121761322,0.08145440222255369,0.07018404136796978,2910.5841053039876,1775.1164468651853,3134.0355288476576,1585.6418192470485,6170.624580474344,ak,0.0,0m,center
5.355102040816327,0.14498066902160645,0.11697309464216232,0.08204393262987013,0.05658566618710502,3350.1514178382554,1503.863104493156,3764.6846195394296,1208.22516840206,7353.262606534091,ak,0.0,0m,center
4.7542857142857144,0.12806157767772675,0.11509303748607635,0.10199957126524391,0.0843353070958333,3619.633976507255,1597.559099743596,3854.7390599624046,1268.3923339930368,7802.845012385671,ak,0.0,0m,center
3.944489795918367,0.05815260112285614,0.037610702216625214,0.08368566176470588,0.025098359673338195,2604.2608719536743,885.4305214248218,2407.131061441518,789.3907051072442,4702.724896599265,ak,100.0,100m,back
4.466938775510204,0.05289163812994957,0.0573636032640934,0.07712180397727272,0.03112152098774327,2433.977239783844,1076.597642041725,2254.2677726682764,920.6576944078679,4369.338600852273,ak,100.0,100m,back
3.944489795918367,0.06953132897615433,0.053662288933992386,0.08762350643382352,0.022337376036643028,2719.8457373506008,832.4359182622782,2469.621198483384,816.3007219648808,4858.903952205882,ak,100.0,100m,back
